experiment,slice,metric,k,value
als_lambdamart,random,ndcg,5,0.43734244972940306
als_lambdamart,random,mrr,5,0.5119679380873411
als_lambdamart,random,map,5,0.3546849087893864
als_lambdamart,random,recall,5,0.511608623548922
als_lambdamart,random,ndcg,10,0.5089308466566107
als_lambdamart,random,mrr,10,0.530932638395325
als_lambdamart,random,map,10,0.3933105635841954
als_lambdamart,random,recall,10,0.6923714759535655
als_lambdamart,random,ndcg,20,0.5531077704964589
als_lambdamart,random,mrr,20,0.5371676758182696
als_lambdamart,random,map,20,0.40994953771598797
als_lambdamart,random,recall,20,0.8349917081260365
als_lambdamart,hard,ndcg,5,0.22175528314275375
als_lambdamart,hard,mrr,5,0.26420674405749034
als_lambdamart,hard,map,5,0.16430348258706468
als_lambdamart,hard,recall,5,0.2802653399668325
als_lambdamart,hard,ndcg,10,0.27858908221248974
als_lambdamart,hard,mrr,10,0.2884591592303035
als_lambdamart,hard,map,10,0.1904093948248177
als_lambdamart,hard,recall,10,0.42371475953565507
als_lambdamart,hard,ndcg,20,0.3347175061803886
als_lambdamart,hard,mrr,20,0.3016089195355403
als_lambdamart,hard,map,20,0.20859316502886577
als_lambdamart,hard,recall,20,0.6061359867330016
als_lambdamart,cold,ndcg,5,0.5047865179918729
als_lambdamart,cold,mrr,5,0.5909249563699825
als_lambdamart,cold,map,5,0.4232111692844678
als_lambdamart,cold,recall,5,0.5680628272251309
als_lambdamart,cold,ndcg,10,0.5723433545832546
als_lambdamart,cold,mrr,10,0.608023767971412
als_lambdamart,cold,map,10,0.4612108368652872
als_lambdamart,cold,recall,10,0.7356020942408377
als_lambdamart,cold,ndcg,20,0.6216057687050845
als_lambdamart,cold,mrr,20,0.6124551541505249
als_lambdamart,cold,map,20,0.4815557922793549
als_lambdamart,cold,recall,20,0.8926701570680629
als_lambdamart,active,ndcg,5,0.4060759035203452
als_lambdamart,active,mrr,5,0.4753640776699029
als_lambdamart,active,map,5,0.32291666666666663
als_lambdamart,active,recall,5,0.4854368932038835
als_lambdamart,active,ndcg,10,0.4795333005061519
als_lambdamart,active,mrr,10,0.495193789489906
als_lambdamart,active,map,10,0.36183252427184465
als_lambdamart,active,recall,10,0.6723300970873787
als_lambdamart,active,ndcg,20,0.521352630550227
als_lambdamart,active,mrr,20,0.5022649856205493
als_lambdamart,active,map,20,0.37675343426549507
als_lambdamart,active,recall,20,0.808252427184466
two_tower_lambdamart,random,ndcg,5,0.4415787115100599
two_tower_lambdamart,random,mrr,5,0.4956605859590934
two_tower_lambdamart,random,map,5,0.355375898286346
two_tower_lambdamart,random,recall,5,0.5373134328358209
two_tower_lambdamart,random,ndcg,10,0.5048102551616408
two_tower_lambdamart,random,mrr,10,0.5129247940193215
two_tower_lambdamart,random,map,10,0.38973255416041486
two_tower_lambdamart,random,recall,10,0.6956882255389718
two_tower_lambdamart,random,ndcg,20,0.5506349768558639
two_tower_lambdamart,random,mrr,20,0.5185499411018488
two_tower_lambdamart,random,map,20,0.4077199723088892
two_tower_lambdamart,random,recall,20,0.8424543946932007
two_tower_lambdamart,hard,ndcg,5,0.24440386043349685
two_tower_lambdamart,hard,mrr,5,0.29715312327252624
two_tower_lambdamart,hard,map,5,0.18226920950801548
two_tower_lambdamart,hard,recall,5,0.30265339966832505
two_tower_lambdamart,hard,ndcg,10,0.30858375823011247
two_tower_lambdamart,hard,mrr,10,0.32254270973176447
two_tower_lambdamart,hard,map,10,0.21314953012714208
two_tower_lambdamart,hard,recall,10,0.4635157545605307
two_tower_lambdamart,hard,ndcg,20,0.36816532869750623
two_tower_lambdamart,hard,mrr,20,0.3343092777193558
two_tower_lambdamart,hard,map,20,0.23388374634437278
two_tower_lambdamart,hard,recall,20,0.6558872305140961
two_tower_lambdamart,cold,ndcg,5,0.5128783649418863
two_tower_lambdamart,cold,mrr,5,0.5701570680628273
two_tower_lambdamart,cold,map,5,0.42766143106457244
two_tower_lambdamart,cold,recall,5,0.6047120418848168
two_tower_lambdamart,cold,ndcg,10,0.5749790990763929
two_tower_lambdamart,cold,mrr,10,0.5834309814676307
two_tower_lambdamart,cold,map,10,0.46364476855314546
two_tower_lambdamart,cold,recall,10,0.7591623036649214
two_tower_lambdamart,cold,ndcg,20,0.6115395260699834
two_tower_lambdamart,cold,mrr,20,0.5872917265125458
two_tower_lambdamart,cold,map,20,0.47813216321515484
two_tower_lambdamart,cold,recall,20,0.8769633507853403
two_tower_lambdamart,active,ndcg,5,0.4085247459627812
two_tower_lambdamart,active,mrr,5,0.4611245954692557
two_tower_lambdamart,active,map,5,0.3218648867313916
two_tower_lambdamart,active,recall,5,0.5060679611650486
two_tower_lambdamart,active,ndcg,10,0.4722805241234911
two_tower_lambdamart,active,mrr,10,0.48023867313915863
two_tower_lambdamart,active,map,10,0.35546742564339656
two_tower_lambdamart,active,recall,10,0.6662621359223301
two_tower_lambdamart,active,ndcg,20,0.5224001008852406
two_tower_lambdamart,active,mrr,20,0.4866817833022295
two_tower_lambdamart,active,map,20,0.37507742749554757
two_tower_lambdamart,active,recall,20,0.8264563106796117
two_tower_neural:bpr,random,ndcg,5,0.3745349661467947
two_tower_neural:bpr,random,mrr,5,0.4231896075179657
two_tower_neural:bpr,random,map,5,0.29398839137645105
two_tower_neural:bpr,random,recall,5,0.4660033167495854
two_tower_neural:bpr,random,ndcg,10,0.43953204519008976
two_tower_neural:bpr,random,mrr,10,0.4428420068967332
two_tower_neural:bpr,random,map,10,0.32810122667087843
two_tower_neural:bpr,random,recall,10,0.6293532338308457
two_tower_neural:bpr,random,ndcg,20,0.4907663525045452
two_tower_neural:bpr,random,mrr,20,0.45091342970811726
two_tower_neural:bpr,random,map,20,0.34706748904615997
two_tower_neural:bpr,random,recall,20,0.7943615257048093
two_tower_neural:bpr,hard,ndcg,5,0.19700206197881667
two_tower_neural:bpr,hard,mrr,5,0.23819789939192923
two_tower_neural:bpr,hard,map,5,0.14140409065782197
two_tower_neural:bpr,hard,recall,5,0.2537313432835821
two_tower_neural:bpr,hard,ndcg,10,0.2537029954683596
two_tower_neural:bpr,hard,mrr,10,0.26022993498117875
two_tower_neural:bpr,hard,map,10,0.16838723051409618
two_tower_neural:bpr,hard,recall,10,0.39718076285240467
two_tower_neural:bpr,hard,ndcg,20,0.31104569062825116
two_tower_neural:bpr,hard,mrr,20,0.2749072408493954
two_tower_neural:bpr,hard,map,20,0.18695545422581683
two_tower_neural:bpr,hard,recall,20,0.5812603648424544
two_tower_neural:bpr,cold,ndcg,5,0.46072400422641974
two_tower_neural:bpr,cold,mrr,5,0.5093368237347294
two_tower_neural:bpr,cold,map,5,0.3774432809773124
two_tower_neural:bpr,cold,recall,5,0.5575916230366492
two_tower_neural:bpr,cold,ndcg,10,0.5205714070650851
two_tower_neural:bpr,cold,mrr,10,0.5244120335743373
two_tower_neural:bpr,cold,map,10,0.40984584060500295
two_tower_neural:bpr,cold,recall,10,0.7094240837696335
two_tower_neural:bpr,cold,ndcg,20,0.560910519450473
two_tower_neural:bpr,cold,mrr,20,0.5301246283645017
two_tower_neural:bpr,cold,map,20,0.42555777100346576
two_tower_neural:bpr,cold,recall,20,0.837696335078534
two_tower_neural:bpr,active,ndcg,5,0.33457839752250257
two_tower_neural:bpr,active,mrr,5,0.38325242718446606
